comment,abusive,Race,Religion,Gender,Sexual_Orientation,Miscellaneous
Knp muka tu mcm tskur jer😊,0,0,0,0,0,0
"Ini malam menang ,esok semua kena dah 😂",0,0,0,0,0,0
Takut berdebat pulak...cakap belakang buat main hebat...rakyat memerhati.,0,0,0,0,0,0
Tok mat romen kuat dgn parti pasu  rupannya tok mat pun koncingggg,0,0,0,0,0,0
"Tolak UmPAs #HuMPas
Kaki sakau dan gila kuasa. Pulangkan segera MB Perak dan Pahang kepada PH. Umno dah lupo diri dan tak tahu malu.",0,0,0,0,0,0
Menyambung kerja yang tergendala hahahaha hah menyakau menyamun ke. Ya tak ya juga kena menang la baru boleh delete segala bukti2 Mana2 yang tak sempat Padam Bila kalah dulu Tu ya,0,0,0,0,0,0
Apapun buang je pres tok mat. You lead.,0,0,0,0,0,0
BN SUDAH 60 TAHUN BERPRNGALAMAN.,0,0,0,0,0,0
PH SUDAH PUTUS HARAPAN.,0,0,0,0,0,0
Buang Masa apanya… yg terbaik DEBAT baru tau siapa yg layak utk jd MB… masa sekarang contoh mcm di Negeri USA hanya ada DUA Parti shj….( ambil yg baik tolak jahat)….aparah….Muka ada nmpak merah… Marah ke….!!! NAK SAMBUNG KERJA YG TERGENDALA….😅😅😅.. Semuanya tak betul yer abis tu SIAPA yg betul….,0,0,0,0,0,0
Yes. Sambungan lebuhraya lingkaran tengah hingga jalan mantin tu tok. PH gagal nak teruskan projek ini.,0,0,0,0,0,0
Paling tk minat berdebat hjg2 nt gaduh,0,0,0,0,0,0
Tokmat boleh jadi PM,0,0,0,0,0,0
Parti kuat RASUAH Dan Pengkainatiii mana tahuu debat.,1,0,0,0,0,1
Mazlee dijadikan poster boy pun PKR kalah teruk.,0,0,0,0,0,0
Umno perosak bangsa nya sendiri sanggup gadai agama bangsa melayu itu sendiri....😮😮😮😮,1,1,1,0,0,0
"kenapa x boleh debate,  calon mb dari BN lawan calon mb dari PH",0,0,0,0,0,0
debat dgn PH DAP kaki kencing buat hapaaaaa!! 😂,0,0,0,0,0,0
Poyo mangkuk hayun ni,1,0,0,0,0,1
🤔🫡..dulu aku 100% percaya dan aku antara fan dia ni tapi semenjak dia ikut kata dan terrrrrrr umdap 10% jer aku percaya itu pun kookkkkkk...yo ...!!!......tapi klu nengok caro dio kobar skrng ni mcm tk real dri hati jer...apo2 pun 1/8 kito poie undi...hidup mat isa ffeennddeekkk😂🤣🤣🤣🤣🤣🤣🤣🤣..hancusss...🫵👻🤡☠️,0,0,0,0,0,0
Ajak debat takut TP sakau duit rakyat berani😂🤣,1,0,0,0,0,1
Takut berdebat sebab takut wang sakau terdedah Ambik RM30B bagi rakyat RM300 ringgit ROI giler lumayan tu,0,0,0,0,0,0
"Nak debat, debat ngan samsoldebat lah😂😂",0,0,0,0,0,0
Debat apo. Buang masa. Jangan layan,0,0,0,0,0,0
Ni muka yg nk lawan Zahid Hamidi dlm pemilihan presiden UMNO..,0,0,0,0,0,0
"Orang cabar debat, dah takut. Tak payah jadi pemimpin.",0,0,0,0,0,0
Team sakau BN.. awat takut sgt nak dedah RCI TH.. sembang kari😅,1,0,0,0,0,1
Bersatu lah wahai umat islam....,0,0,0,0,0,0
terbaik tok mat 👍🏼👍🏼👍🏼,0,0,0,0,0,0
Hidup tok mat💪🏻💪🏻💪🏻,0,0,0,0,0,0
Rasuah is come back 😅😅😅,0,0,0,0,0,0
X ada point le tu…….,0,0,0,0,0,0
BN penyangak,1,0,0,0,0,1
Mazlee level2 tapak kasut hitam je😂,1,0,0,0,0,1
BN & PN 👍,0,0,0,0,0,0
Tak mahu berdebat jangan peleceh orang. Orang yg kau peleceh itu ada PHD. Kau ade? Aku ni tak pernah menjadi ahli mana-mana parti politik. Tapi kalau tengok orang cakap macam aku nenyampah. Tak kira sape sekali pun.,0,0,0,0,0,0
tak payah layan la harapan hancing tu buang masa je,0,0,0,0,0,0
mat hasan sembang besar,0,0,0,0,0,0
"N20 Labu. Jika BN memang nti, Jgn Lupa Rakyat yg Pangkah BN . Yang Lepas N20 utamakn famili sesaorang bagi Rakyat yg lain, Koroni famili pun ego Semua famili ITU Racun DN sombong.",0,0,0,0,0,0
"NO WAK JAHAT,NO ANUAR,NO DAP,NO UMDAPPP MANTAPPP....!!!😅😅😅",0,0,0,0,0,0
"Manifesto nk mentekedarah duit rakyat n.9....masa ko dlu duit sikit,skrg dh berbilion....",1,0,0,0,0,1
Cuma...kaki sakau tolong tendang keluar..,1,0,0,0,0,1
Pengecut lh tu,0,0,0,0,0,0
"Debat buang masa, sakau tak buang masa..",0,0,0,0,0,0
Umno mana telo kalo nak befebat,1,0,0,0,0,1
Jgn percaya Umno sbb mereka ni yg telah byk merompak negara & mengkayakan kroni,1,0,0,0,0,1
Warihhh nih KUAT WAYANG,0,0,0,0,0,0
