comment,video_id,video_title,source_query,fetched_at
Knp muka tu mcm tskur jer😊,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Ini malam menang ,esok semua kena dah 😂",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Takut berdebat pulak...cakap belakang buat main hebat...rakyat memerhati.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tok mat romen kuat dgn parti pasu  rupannya tok mat pun koncingggg,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Tolak UmPAs #HuMPas
Kaki sakau dan gila kuasa. Pulangkan segera MB Perak dan Pahang kepada PH. Umno dah lupo diri dan tak tahu malu.",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Menyambung kerja yang tergendala hahahaha hah menyakau menyamun ke. Ya tak ya juga kena menang la baru boleh delete segala bukti2 Mana2 yang tak sempat Padam Bila kalah dulu Tu ya,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Apapun buang je pres tok mat. You lead.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
BN SUDAH 60 TAHUN BERPRNGALAMAN.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
PH SUDAH PUTUS HARAPAN.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Buang Masa apanya… yg terbaik DEBAT baru tau siapa yg layak utk jd MB… masa sekarang contoh mcm di Negeri USA hanya ada DUA Parti shj….( ambil yg baik tolak jahat)….aparah….Muka ada nmpak merah… Marah ke….!!! NAK SAMBUNG KERJA YG TERGENDALA….😅😅😅.. Semuanya tak betul yer abis tu SIAPA yg betul….,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Yes. Sambungan lebuhraya lingkaran tengah hingga jalan mantin tu tok. PH gagal nak teruskan projek ini.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Paling tk minat berdebat hjg2 nt gaduh,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tokmat boleh jadi PM,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
